"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19129","Отмена промокода","tests","Mon May 26 05:31:14 GMT 2025","passed","Mon May 26 05:31:33 GMT 2025","","test_checkout","",""
"","36621","Стоимость доставки не определена","tests","Mon May 26 05:36:02 GMT 2025","passed","Mon May 26 05:36:39 GMT 2025","","test_checkout","",""
"","9814","Изменение цены в блоке калькуляции по части позиций (Счетчик)","tests","Mon May 26 05:25:37 GMT 2025","passed","Mon May 26 05:25:47 GMT 2025","","test_cart","",""
"","34767","Способ 'Оплата при получении' не доступен","tests","Mon May 26 05:54:03 GMT 2025","passed","Mon May 26 05:54:38 GMT 2025","","test_checkout","",""
"","26523","Итоговая стоимость заказа с промокодом и доставкой","tests","Mon May 26 05:32:06 GMT 2025","passed","Mon May 26 05:32:33 GMT 2025","","test_checkout","",""
"","18431","Активация окна Изменить получателя","tests","Mon May 26 05:40:27 GMT 2025","passed","Mon May 26 05:40:46 GMT 2025","","test_checkout","",""
"","84505","Сохранение нового получателя с некорректным ФИО","tests","Mon May 26 06:00:04 GMT 2025","passed","Mon May 26 06:01:28 GMT 2025","","test_checkout","",""
"","34746","Способы оплаты Онлайн-оплата и Оплата по счету доступны","tests","Mon May 26 05:56:04 GMT 2025","passed","Mon May 26 05:56:39 GMT 2025","","test_checkout","",""
"","39873","Переход в чек-аут с пустым аккаунтом","tests","Mon May 26 05:22:15 GMT 2025","passed","Mon May 26 05:22:55 GMT 2025","","test_cart","",""
"","26771","Редактирование ПВЗ","tests","Mon May 26 05:46:05 GMT 2025","passed","Mon May 26 05:46:32 GMT 2025","","test_checkout","",""
"","19571","Закрытие окна Изменить получателя через нажатие на пространство вне окна","tests","Mon May 26 05:44:49 GMT 2025","passed","Mon May 26 05:45:09 GMT 2025","","test_checkout","",""
"","15208","Открытие модального окна Новый получатель через блок Покупатель и получатель","tests","Mon May 26 05:39:38 GMT 2025","passed","Mon May 26 05:39:53 GMT 2025","","test_checkout","",""
"","14605","Переход в листинг адресов через кнопку Курьер","tests","Mon May 26 05:51:07 GMT 2025","passed","Mon May 26 05:51:22 GMT 2025","","test_checkout","",""
"","27015","Изменение получателя со всеми валидными символами в ФИО","tests","Mon May 26 05:44:01 GMT 2025","passed","Mon May 26 05:44:28 GMT 2025","","test_checkout","",""
"","7086","Переход на страницу 'Статьи'","tests","Mon May 26 06:03:21 GMT 2025","passed","Mon May 26 06:03:28 GMT 2025","","test_header_links","",""
"","25598","Создание нового получателя со всеми валидными символами в ФИО","tests","Mon May 26 05:38:21 GMT 2025","passed","Mon May 26 05:38:46 GMT 2025","","test_checkout","",""
"","25335","Добавление нового получателя со всеми полями","tests","Mon May 26 05:37:05 GMT 2025","passed","Mon May 26 05:37:31 GMT 2025","","test_checkout","",""
"","14955","Раскрытие блока 'Промокод'","tests","Mon May 26 05:30:42 GMT 2025","passed","Mon May 26 05:30:57 GMT 2025","","test_checkout","",""
"","22939","Удаление товара нажатием на кнопку 'Удалить'","tests","Mon May 26 05:23:56 GMT 2025","passed","Mon May 26 05:24:19 GMT 2025","","test_cart","",""
"","13649","Кнопка Оформить заказ не активна если у пользователя не выбран получатель и адрес","tests","Mon May 26 05:33:21 GMT 2025","passed","Mon May 26 05:33:35 GMT 2025","","test_checkout","",""
"","15046","Переход в карты через листинг адресов курьера","tests","Mon May 26 05:51:22 GMT 2025","passed","Mon May 26 05:51:37 GMT 2025","","test_checkout","",""
"","24511","При переключении аккаунта меняется состав контрагентов в чек-ауте","tests","Mon May 26 06:02:56 GMT 2025","passed","Mon May 26 06:03:21 GMT 2025","","test_checkout","",""
"","10887","Добавление товара из карточки товара","tests","Mon May 26 05:21:08 GMT 2025","passed","Mon May 26 05:21:18 GMT 2025","","test_add_to_cart","",""
"","39523","Переход в чек-аут","tests","Mon May 26 05:21:36 GMT 2025","passed","Mon May 26 05:22:15 GMT 2025","","test_cart","",""
"","51239","При достижении определенной суммы стоимость доставки равна 0","tests","Mon May 26 05:34:45 GMT 2025","passed","Mon May 26 05:35:36 GMT 2025","","test_checkout","",""
"","18858","В блоке отображается название выбранного контрагента","tests","Mon May 26 05:57:05 GMT 2025","passed","Mon May 26 05:57:24 GMT 2025","","test_checkout","",""
"","34813","Активация окна изменения цены","tests","Mon May 26 05:27:30 GMT 2025","passed","Mon May 26 05:28:05 GMT 2025","","test_cart","",""
"","31424","Удаление товара нажатием на крестик (Окно изменения цены)","tests","Mon May 26 05:28:37 GMT 2025","passed","Mon May 26 05:29:08 GMT 2025","","test_cart","",""
"","21136","Число рядом с кнопкой удалить","tests","Mon May 26 05:23:35 GMT 2025","passed","Mon May 26 05:23:56 GMT 2025","","test_cart","",""
"","38118","Закрытие окна удаления получателя","tests","Mon May 26 05:41:58 GMT 2025","passed","Mon May 26 05:42:36 GMT 2025","","test_checkout","",""
"","25453","Изменение только обязательных полей получателя","tests","Mon May 26 05:43:36 GMT 2025","passed","Mon May 26 05:44:01 GMT 2025","","test_checkout","",""
"","4765","Переход на домашнюю страницу","tests","Mon May 26 06:04:05 GMT 2025","passed","Mon May 26 06:04:10 GMT 2025","","test_header_links","",""
"","20723","Переход с пустой корзины 'На главную'","tests","Mon May 26 05:26:30 GMT 2025","passed","Mon May 26 05:26:50 GMT 2025","","test_cart","",""
"","14895","Открытие модального окна Карты через кнопку Курьером","tests","Mon May 26 05:52:49 GMT 2025","passed","Mon May 26 05:53:04 GMT 2025","","test_checkout","",""
"","19399","Закрытие окна Новый получатель через крестик","tests","Mon May 26 05:38:59 GMT 2025","passed","Mon May 26 05:39:18 GMT 2025","","test_checkout","",""
"","17686","Изменение цены в блоке калькуляции по всем позициям","tests","Mon May 26 05:24:39 GMT 2025","passed","Mon May 26 05:24:56 GMT 2025","","test_cart","",""
"","9830","Отправка на печать","tests","Mon May 26 05:25:17 GMT 2025","passed","Mon May 26 05:25:27 GMT 2025","","test_cart","",""
"","41754","Меняю данные получателя на некорректные","tests","Mon May 26 05:59:22 GMT 2025","passed","Mon May 26 06:00:04 GMT 2025","","test_checkout","",""
"","14426","Переход в листинг адресов через кнопку Пункт выдачи","tests","Mon May 26 05:50:53 GMT 2025","passed","Mon May 26 05:51:07 GMT 2025","","test_checkout","",""
"","5878","Переход на страницу 'Круг друзей'","tests","Mon May 26 06:04:15 GMT 2025","passed","Mon May 26 06:04:21 GMT 2025","","test_header_links","",""
"","43993","Переход на страницы Политика конфиденциальности и Договор-оферта","tests","Mon May 26 05:33:35 GMT 2025","passed","Mon May 26 05:34:19 GMT 2025","","test_checkout","",""
"","4997","Переход на страницу 'Гарантии'","tests","Mon May 26 06:05:03 GMT 2025","failed","Mon May 26 06:05:08 GMT 2025","","test_header_links","",""
"","14962","Применение валидного промокода","tests","Mon May 26 05:30:10 GMT 2025","passed","Mon May 26 05:30:25 GMT 2025","","test_checkout","",""
"","25082","Добавление нового получателя только с обязательными полями","tests","Mon May 26 05:37:43 GMT 2025","passed","Mon May 26 05:38:08 GMT 2025","","test_checkout","",""
"","19956","Открытие окна Изменить получателя","tests","Mon May 26 05:42:49 GMT 2025","passed","Mon May 26 05:43:09 GMT 2025","","test_checkout","",""
"","20996","Активация окна авторизации в пустой корзине","tests","Mon May 26 05:26:50 GMT 2025","passed","Mon May 26 05:27:11 GMT 2025","","test_cart","",""
"","5249","Переход на страницу 'Доставка и оплата'","tests","Mon May 26 06:04:00 GMT 2025","passed","Mon May 26 06:04:05 GMT 2025","","test_header_links","",""
"","5879","Переход на страницу 'Бренды'","tests","Mon May 26 06:03:28 GMT 2025","passed","Mon May 26 06:03:34 GMT 2025","","test_header_links","",""
"","29408","Вернутся в корзину через нажатие на пространство вне окна","tests","Mon May 26 05:29:41 GMT 2025","passed","Mon May 26 05:30:10 GMT 2025","","test_cart","",""
"","31559","При переключении покупателя меняется цена в блоках Итого и Доставка","tests","Mon May 26 06:01:53 GMT 2025","passed","Mon May 26 06:02:25 GMT 2025","","test_checkout","",""
"","18784","Выделение всего товара","tests","Mon May 26 05:22:55 GMT 2025","passed","Mon May 26 05:23:14 GMT 2025","","test_cart","",""
"","19197","Удаление товара нажатием на крестик (Корзина)","tests","Mon May 26 05:24:19 GMT 2025","passed","Mon May 26 05:24:38 GMT 2025","","test_cart","",""
"","14514","Удаление получателя","tests","Mon May 26 05:41:05 GMT 2025","passed","Mon May 26 05:41:20 GMT 2025","","test_checkout","",""
"","10091","Изменение количества товара через счетчик","tests","Mon May 26 05:25:27 GMT 2025","passed","Mon May 26 05:25:37 GMT 2025","","test_cart","",""
"","23234","Добавление ПВЗ","tests","Mon May 26 05:45:29 GMT 2025","passed","Mon May 26 05:45:53 GMT 2025","","test_checkout","",""
"","81451","Сохраниение нового получателя с некоретными данными","tests","Mon May 26 05:58:01 GMT 2025","passed","Mon May 26 05:59:22 GMT 2025","","test_checkout","",""
"","20371","Выбор нового адреса","tests","Mon May 26 05:50:32 GMT 2025","passed","Mon May 26 05:50:53 GMT 2025","","test_checkout","",""
"","7493","Добавление товара из поиска","tests","Mon May 26 05:21:19 GMT 2025","passed","Mon May 26 05:21:26 GMT 2025","","test_add_to_cart","",""
"","36700","Сохраниение нового получателя с некоретными даными","tests","Mon May 26 05:57:24 GMT 2025","passed","Mon May 26 05:58:00 GMT 2025","","test_checkout","",""
"","14559","Открытие листинга адресов пользователем с адресами (через кнопку Изменить)","tests","Mon May 26 05:52:06 GMT 2025","passed","Mon May 26 05:52:20 GMT 2025","","test_checkout","",""
"","17065","Очистка поля 'Промокод'","tests","Mon May 26 05:31:33 GMT 2025","passed","Mon May 26 05:31:50 GMT 2025","","test_checkout","",""
"","18495","Закрытие листинга покупателей","tests","Mon May 26 06:02:38 GMT 2025","passed","Mon May 26 06:02:56 GMT 2025","","test_checkout","",""
"","49629","Создание заказа с валидацией JSON-схемы","tests","Mon May 26 05:17:47 GMT 2025","passed","Mon May 26 05:18:37 GMT 2025","","test_create_order","",""
"","14421","Открытие модального окна Карты через кнопку Пункт выдачи","tests","Mon May 26 05:52:34 GMT 2025","passed","Mon May 26 05:52:49 GMT 2025","","test_checkout","",""
"","13915","Открытие листинга получателей (через кнопку Изменить)","tests","Mon May 26 05:39:53 GMT 2025","passed","Mon May 26 05:40:07 GMT 2025","","test_checkout","",""
"","6016","Переход на страницу 'Магазины'","tests","Mon May 26 06:03:43 GMT 2025","failed","Mon May 26 06:03:49 GMT 2025","","test_header_links","",""
