"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_create_order[chromium]","tests","Sat Apr 26 05:15:12 GMT 2025","broken","Sat Apr 26 05:15:12 GMT 2025","","test_create_order","",""
"","23068","Удаление товара нажатием на крестик (Корзина)","tests","Sat Apr 26 05:17:06 GMT 2025","passed","Sat Apr 26 05:17:29 GMT 2025","","test_cart","",""
"","0","Создание заказа с валидацией JSON-схемы","tests","Sat Apr 26 05:15:18 GMT 2025","broken","Sat Apr 26 05:15:18 GMT 2025","","test_create_order","",""
