"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17043","Удаление товара нажатием на крестик (Корзина)","tests","Sun Mar 16 05:22:18 GMT 2025","passed","Sun Mar 16 05:22:35 GMT 2025","","test_cart","",""
"","31606","Способ 'Оплата при получении' доступен","tests","Sun Mar 16 05:50:26 GMT 2025","passed","Sun Mar 16 05:50:58 GMT 2025","","test_checkout","",""
"","18750","Активация окна Удалить адрес","tests","Sun Mar 16 05:46:44 GMT 2025","passed","Sun Mar 16 05:47:03 GMT 2025","","test_checkout","",""
"","26250","Изменение получателя со всеми валидными символами в ФИО","tests","Sun Mar 16 05:41:34 GMT 2025","passed","Sun Mar 16 05:42:00 GMT 2025","","test_checkout","",""
"","24690","Добавление адреса курьера","tests","Sun Mar 16 05:44:08 GMT 2025","passed","Sun Mar 16 05:44:32 GMT 2025","","test_checkout","",""
"","6001","test_header_link[chromium]","tests.Heder_links","Sun Mar 16 05:17:04 GMT 2025","passed","Sun Mar 16 05:17:10 GMT 2025","","test_blogs","",""
"","21451","Добавление ПВЗ","tests","Sun Mar 16 05:42:55 GMT 2025","passed","Sun Mar 16 05:43:17 GMT 2025","","test_checkout","",""
"","18610","Активация окно подтверждения удаления","tests","Sun Mar 16 05:38:29 GMT 2025","passed","Sun Mar 16 05:38:47 GMT 2025","","test_checkout","",""
"","13696","Переход в листинг адресов через кнопку Пункт выдачи","tests","Sun Mar 16 05:48:21 GMT 2025","passed","Sun Mar 16 05:48:35 GMT 2025","","test_checkout","",""
"","18853","Переход с пустой корзины 'На главную'","tests","Sun Mar 16 05:24:18 GMT 2025","passed","Sun Mar 16 05:24:37 GMT 2025","","test_cart","",""
"","5049","test_header_link[chromium]","tests.Heder_links","Sun Mar 16 05:17:40 GMT 2025","passed","Sun Mar 16 05:17:45 GMT 2025","","test_promos","",""
"","6427","Добавление товара из поиска","tests","Sun Mar 16 05:18:15 GMT 2025","passed","Sun Mar 16 05:18:22 GMT 2025","","test_add_to_cart","",""
"","4169","test_header_link[chromium]","tests.Heder_links","Sun Mar 16 05:17:27 GMT 2025","passed","Sun Mar 16 05:17:31 GMT 2025","","test_how-to-order","",""
"","16764","Применение валидного промокода к неподходящему товару","tests","Sun Mar 16 05:28:32 GMT 2025","passed","Sun Mar 16 05:28:49 GMT 2025","","test_checkout","",""
"","17617","Открытие окна Изменить получателя","tests","Sun Mar 16 05:40:25 GMT 2025","passed","Sun Mar 16 05:40:43 GMT 2025","","test_checkout","",""
"","23151","Отмена удаления получателя","tests","Sun Mar 16 05:39:13 GMT 2025","passed","Sun Mar 16 05:39:36 GMT 2025","","test_checkout","",""
"","26151","Изменение всех полей получателя","tests","Sun Mar 16 05:40:43 GMT 2025","passed","Sun Mar 16 05:41:09 GMT 2025","","test_checkout","",""
"","33329","Редактирование адреса курьера","tests","Sun Mar 16 05:44:51 GMT 2025","passed","Sun Mar 16 05:45:24 GMT 2025","","test_checkout","",""
