"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20098","Выбор нового получателя","tests","2026-08-17","passed","2026-08-17","","test_checkout","",""
"","12737","Добавление товара из листинга","tests","2026-08-17","passed","2026-08-17","","test_add_to_cart","",""
"","14786","Открытие модального окна Карты через кнопку Курьером","tests","2026-08-17","passed","2026-08-17","","test_checkout","",""
"","4622","Создание заказа с валидацией JSON-схемы","tests","2026-08-17","failed","2026-08-17","","test_create_order","",""
"","14811","Переход в листинг адресов через кнопку Пункт выдачи","tests","2026-08-17","passed","2026-08-17","","test_checkout","",""
"","9995","Открытие модального окна авторизации","tests","2026-08-17","passed","2026-08-17","","test_cart","",""
"","33640","Вернутся в корзину через кнопку 'Вернутся в корзину'","tests","2026-08-17","passed","2026-08-17","","test_cart","",""
"","9017","Добавление товара из карточки товара","tests","2026-08-17","passed","2026-08-17","","test_add_to_cart","",""
"","40633","Закрытие окна удаления получателя","tests","2026-08-17","passed","2026-08-17","","test_checkout","",""
"","36031","Способы оплаты Онлайн-оплата и Оплата по счету не доступны","tests","2026-08-17","passed","2026-08-17","","test_checkout","",""
"","47062","Переход на страницы Политика конфиденциальности и Договор-оферта","tests","2026-08-17","passed","2026-08-17","","test_checkout","",""
"","23567","Отмена удаления товара","tests","2026-08-17","passed","2026-08-17","","test_cart","",""
"","40085","Переход в чек-аут","tests","2026-08-17","passed","2026-08-17","","test_cart","",""
"","27857","Добавление нового получателя со всеми полями","tests","2026-08-17","passed","2026-08-17","","test_checkout","",""
"","22977","Удаление всего товара (Корзина)","tests","2026-08-17","passed","2026-08-17","","test_cart","",""
"","20768","Выбор нового адреса","tests","2026-08-17","passed","2026-08-17","","test_checkout","",""
"","83797","Сохраниение нового получателя с некоретными данными","tests","2026-08-17","passed","2026-08-17","","test_checkout","",""
"","6707","Переход на страницу 'Как сделать заказ'","tests","2026-08-17","passed","2026-08-17","","test_header_links","",""
