"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19920","Изменение цены в блоке калькуляции по части позиций (Чек-бокс)","tests","Sun Nov 03 02:01:16 GMT 2024","passed","Sun Nov 03 02:01:36 GMT 2024","","test_cart","",""
"","20159","Отмена удаления товара","tests","Sun Nov 03 02:02:26 GMT 2024","passed","Sun Nov 03 02:02:47 GMT 2024","","test_cart","",""
"","5657","test_header_link[chromium]","tests.Heder_links","Sun Nov 03 01:56:27 GMT 2024","passed","Sun Nov 03 01:56:32 GMT 2024","","test_news","",""
"","4104","test_header_link[chromium]","tests.Heder_links","Sun Nov 03 01:56:42 GMT 2024","passed","Sun Nov 03 01:56:46 GMT 2024","","test_warranty","",""
"","17105","Если товар не выбран кнопка 'Оформить заказ' не активна","tests","Sun Nov 03 02:03:28 GMT 2024","passed","Sun Nov 03 02:03:45 GMT 2024","","test_cart","",""
"","10013","Изменение цены в блоке калькуляции по части позиций (Счетчик)","tests","Sun Nov 03 02:01:57 GMT 2024","passed","Sun Nov 03 02:02:07 GMT 2024","","test_cart","",""
"","0","Вернутся в корзину через кнопку 'Вернутся в корзину'","tests","Sun Nov 03 02:03:46 GMT 2024","broken","Sun Nov 03 02:03:46 GMT 2024","","test_cart","",""
"","20387","Выделение части товара","tests","Sun Nov 03 01:59:35 GMT 2024","passed","Sun Nov 03 01:59:55 GMT 2024","","test_cart","",""
"","4681","test_header_link[chromium]","tests.Heder_links","Sun Nov 03 01:56:00 GMT 2024","passed","Sun Nov 03 01:56:05 GMT 2024","","test_brands","",""
"","53941","Переход в чек-аут","tests","Sun Nov 03 01:58:21 GMT 2024","broken","Sun Nov 03 01:59:15 GMT 2024","","test_cart","",""
"","36417","Добавление товара из карточки товара","tests","Sun Nov 03 01:57:27 GMT 2024","broken","Sun Nov 03 01:58:03 GMT 2024","","test_add_to_cart","",""
"","0","Удаление товара нажатием на крестик (Окно изменения цены)","tests","Sun Nov 03 02:03:46 GMT 2024","broken","Sun Nov 03 02:03:46 GMT 2024","","test_cart","",""
"","0","Закрытие блока изменения информации","tests","Sun Nov 03 02:03:45 GMT 2024","broken","Sun Nov 03 02:03:45 GMT 2024","","test_cart","",""
"","4161","test_header_link[chromium]","tests.Heder_links","Sun Nov 03 01:56:22 GMT 2024","passed","Sun Nov 03 01:56:27 GMT 2024","","test_krug","",""
"","19711","Удаление всего товара (Корзина)","tests","Sun Nov 03 02:02:07 GMT 2024","passed","Sun Nov 03 02:02:26 GMT 2024","","test_cart","",""
"","9022","Открытие модального окна авторизации","tests","Sun Nov 03 02:04:48 GMT 2024","passed","Sun Nov 03 02:04:57 GMT 2024","","test_cart_test_fir_test_IT","",""
"","3957","test_header_link[chromium]","tests.Heder_links","Sun Nov 03 01:56:18 GMT 2024","passed","Sun Nov 03 01:56:22 GMT 2024","","test_how-to-order","",""
"","25961","Удаление товара нажатием на кнопку 'Удалить'","tests","Sun Nov 03 02:00:15 GMT 2024","passed","Sun Nov 03 02:00:41 GMT 2024","","test_cart","",""
"","6745","Добавление товара из поиска","tests","Sun Nov 03 01:58:05 GMT 2024","passed","Sun Nov 03 01:58:11 GMT 2024","","test_add_to_cart","",""
"","0","Вернутся в корзину через нажатие на пространство вне окна","tests","Sun Nov 03 02:03:46 GMT 2024","broken","Sun Nov 03 02:03:46 GMT 2024","","test_cart","",""
"","9305","Отправка на печать","tests","Sun Nov 03 02:01:36 GMT 2024","passed","Sun Nov 03 02:01:45 GMT 2024","","test_cart","",""
"","20563","Активация окна авторизации в пустой корзине","tests","Sun Nov 03 02:03:08 GMT 2024","passed","Sun Nov 03 02:03:28 GMT 2024","","test_cart","",""
"","9801","Открытие модального окна авторизации","tests","Sun Nov 03 01:58:12 GMT 2024","passed","Sun Nov 03 01:58:21 GMT 2024","","test_cart","",""
"","17520","Удаление товара нажатием на крестик (Корзина)","tests","Sun Nov 03 02:00:41 GMT 2024","passed","Sun Nov 03 02:00:59 GMT 2024","","test_cart","",""
"","0","Активация окна изменения цены","tests","Sun Nov 03 02:03:45 GMT 2024","broken","Sun Nov 03 02:03:45 GMT 2024","","test_cart","",""
"","0","test_create_order[chromium]","tests","Sun Nov 03 02:04:57 GMT 2024","skipped","Sun Nov 03 02:04:57 GMT 2024","","test_create_order","",""
"","20136","Число рядом с кнопкой удалить","tests","Sun Nov 03 01:59:55 GMT 2024","passed","Sun Nov 03 02:00:15 GMT 2024","","test_cart","",""
"","4763","test_header_link[chromium]","tests.Heder_links","Sun Nov 03 01:56:32 GMT 2024","passed","Sun Nov 03 01:56:37 GMT 2024","","test_promos","",""
"","19078","Активация блока 'Недоступно для заказа'","tests","Sun Nov 03 02:03:46 GMT 2024","passed","Sun Nov 03 02:04:05 GMT 2024","","test_cart","",""
"","5257","test_header_link2[chromium]","tests.Heder_links","Sun Nov 03 01:56:10 GMT 2024","passed","Sun Nov 03 01:56:15 GMT 2024","","test_dostavka-oplata","",""
"","3224","Переход на домашнюю страницу","tests.Heder_links","Sun Nov 03 01:56:15 GMT 2024","passed","Sun Nov 03 01:56:18 GMT 2024","","test_home","",""
"","18426","Выделение всего товара","tests","Sun Nov 03 01:59:16 GMT 2024","passed","Sun Nov 03 01:59:35 GMT 2024","","test_cart","",""
"","17111","Изменение цены в блоке калькуляции по всем позициям","tests","Sun Nov 03 02:00:59 GMT 2024","passed","Sun Nov 03 02:01:16 GMT 2024","","test_cart","",""
"","22541","Удаление товара нажатием на крестик (Блок 'Недоступно для заказа')","tests","Sun Nov 03 02:04:05 GMT 2024","passed","Sun Nov 03 02:04:28 GMT 2024","","test_cart","",""
"","39155","Добавление товара из листинга","tests","Sun Nov 03 01:56:46 GMT 2024","broken","Sun Nov 03 01:57:25 GMT 2024","","test_add_to_cart","",""
"","11020","Изменение количества товара через счетчик","tests","Sun Nov 03 02:01:45 GMT 2024","passed","Sun Nov 03 02:01:57 GMT 2024","","test_cart","",""
"","20834","Переход с пустой корзины 'На главную'","tests","Sun Nov 03 02:02:47 GMT 2024","passed","Sun Nov 03 02:03:08 GMT 2024","","test_cart","",""
"","6165","test_header_link[chromium]","tests.Heder_links","Sun Nov 03 01:55:54 GMT 2024","passed","Sun Nov 03 01:56:00 GMT 2024","","test_blogs","",""
"","4657","test_header_link[chromium]","tests.Heder_links","Sun Nov 03 01:56:05 GMT 2024","passed","Sun Nov 03 01:56:10 GMT 2024","","test_contacts","",""
"","0","Авторизуюсь через testmail.app","tests","Sun Nov 03 01:58:11 GMT 2024","skipped","Sun Nov 03 01:58:11 GMT 2024","","test_autorization","",""
"","4774","test_header_link[chromium]","tests.Heder_links","Sun Nov 03 01:56:37 GMT 2024","passed","Sun Nov 03 01:56:42 GMT 2024","","test_video","",""
"","20165","Удаление всего товара в блоке (Блок 'Недоступно для заказа')","tests","Sun Nov 03 02:04:28 GMT 2024","passed","Sun Nov 03 02:04:48 GMT 2024","","test_cart","",""
