"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14618","Раскрытие блока 'Промокод'","tests","Tue Jan 28 01:55:09 GMT 2025","passed","Tue Jan 28 01:55:23 GMT 2025","","test_checkout","",""
"","3925","test_header_link[chromium]","tests.Heder_links","Tue Jan 28 01:47:11 GMT 2025","passed","Tue Jan 28 01:47:15 GMT 2025","","test_warranty","",""
"","10024","Изменение количества товара через счетчик","tests","Tue Jan 28 01:50:33 GMT 2025","passed","Tue Jan 28 01:50:43 GMT 2025","","test_cart","",""
"","17819","Переход с пустой корзины 'На главную'","tests","Tue Jan 28 01:51:27 GMT 2025","passed","Tue Jan 28 01:51:44 GMT 2025","","test_cart","",""
"","28579","Переход в чек-аут","tests","Tue Jan 28 01:47:49 GMT 2025","passed","Tue Jan 28 01:48:17 GMT 2025","","test_cart","",""
"","3955","test_header_link[chromium]","tests.Heder_links","Tue Jan 28 01:46:49 GMT 2025","passed","Tue Jan 28 01:46:53 GMT 2025","","test_how-to-order","",""
"","15855","Изменение цены в блоке калькуляции по всем позициям","tests","Tue Jan 28 01:49:50 GMT 2025","passed","Tue Jan 28 01:50:05 GMT 2025","","test_cart","",""
"","12983","Переход в листинг адресов через кнопку Пункт выдачи","tests","Tue Jan 28 02:05:22 GMT 2025","passed","Tue Jan 28 02:05:35 GMT 2025","","test_checkout","",""
"","3888","test_header_link[chromium]","tests.Heder_links","Tue Jan 28 01:46:53 GMT 2025","passed","Tue Jan 28 01:46:57 GMT 2025","","test_krug","",""
"","16464","Закрытие окна Изменить получателя через крестик","tests","Tue Jan 28 02:01:26 GMT 2025","passed","Tue Jan 28 02:01:42 GMT 2025","","test_checkout","",""
"","13777","Открытие карт","tests","Tue Jan 28 02:02:13 GMT 2025","passed","Tue Jan 28 02:02:27 GMT 2025","","test_checkout","",""
"","21631","Изменение всех полей получателя","tests","Tue Jan 28 01:59:59 GMT 2025","passed","Tue Jan 28 02:00:21 GMT 2025","","test_checkout","",""
"","2831","Переход на домашнюю страницу","tests.Heder_links","Tue Jan 28 01:46:46 GMT 2025","passed","Tue Jan 28 01:46:49 GMT 2025","","test_home","",""
"","12704","Переход в листинг адресов через кнопку Курьер","tests","Tue Jan 28 02:05:35 GMT 2025","passed","Tue Jan 28 02:05:47 GMT 2025","","test_checkout","",""
"","19475","Выделение части товара","tests","Tue Jan 28 01:48:34 GMT 2025","passed","Tue Jan 28 01:48:54 GMT 2025","","test_cart","",""
"","15135","Выбор нового адреса","tests","Tue Jan 28 01:57:56 GMT 2025","passed","Tue Jan 28 01:58:12 GMT 2025","","test_checkout","",""
"","19020","Активация окна авторизации в пустой корзине","tests","Tue Jan 28 01:51:45 GMT 2025","passed","Tue Jan 28 01:52:04 GMT 2025","","test_cart","",""
"","0","Авторизуюсь через testmail.app","tests","Tue Jan 28 01:47:40 GMT 2025","skipped","Tue Jan 28 01:47:40 GMT 2025","","test_autorization","",""
"","29085","Активация окна изменения цены","tests","Tue Jan 28 01:52:20 GMT 2025","passed","Tue Jan 28 01:52:50 GMT 2025","","test_cart","",""
"","15142","Закрытие окна Новый получатель через нажатие на пространство вне окна","tests","Tue Jan 28 01:57:41 GMT 2025","passed","Tue Jan 28 01:57:56 GMT 2025","","test_checkout","",""
"","4348","test_header_link[chromium]","tests.Heder_links","Tue Jan 28 01:46:57 GMT 2025","passed","Tue Jan 28 01:47:02 GMT 2025","","test_news","",""
"","4662","test_header_link[chromium]","tests.Heder_links","Tue Jan 28 01:47:02 GMT 2025","passed","Tue Jan 28 01:47:06 GMT 2025","","test_promos","",""
"","3531","test_header_link2[chromium]","tests.Heder_links","Tue Jan 28 01:46:43 GMT 2025","passed","Tue Jan 28 01:46:46 GMT 2025","","test_dostavka-oplata","",""
"","16769","Если товар не выбран кнопка 'Оформить заказ' не активна","tests","Tue Jan 28 01:52:04 GMT 2025","passed","Tue Jan 28 01:52:20 GMT 2025","","test_cart","",""
"","16261","Закрытие окна Изменить получателя через нажатие на пространство вне окна","tests","Tue Jan 28 02:01:42 GMT 2025","passed","Tue Jan 28 02:01:59 GMT 2025","","test_checkout","",""
"","16149","Закрытие окна Новый получатель через крестик","tests","Tue Jan 28 01:57:25 GMT 2025","passed","Tue Jan 28 01:57:41 GMT 2025","","test_checkout","",""
"","17868","Число рядом с кнопкой удалить","tests","Tue Jan 28 01:48:54 GMT 2025","passed","Tue Jan 28 01:49:12 GMT 2025","","test_cart","",""
"","21271","Изменение получателя со всеми валидными символами в ФИО","tests","Tue Jan 28 02:01:04 GMT 2025","passed","Tue Jan 28 02:01:26 GMT 2025","","test_checkout","",""
"","20351","Изменение только обязательных полей получателя","tests","Tue Jan 28 02:00:44 GMT 2025","passed","Tue Jan 28 02:01:04 GMT 2025","","test_checkout","",""
"","17419","Удаление адреса","tests","Tue Jan 28 02:05:04 GMT 2025","passed","Tue Jan 28 02:05:21 GMT 2025","","test_checkout","",""
"","14198","Открытие листинга адресов пользователем с адресами","tests","Tue Jan 28 02:01:59 GMT 2025","passed","Tue Jan 28 02:02:13 GMT 2025","","test_checkout","",""
"","9165","Открытие модального окна авторизации","tests","Tue Jan 28 01:54:30 GMT 2025","passed","Tue Jan 28 01:54:40 GMT 2025","","test_cart_test_fir_test_IT","",""
"","3930","test_header_link[chromium]","tests.Heder_links","Tue Jan 28 01:46:35 GMT 2025","passed","Tue Jan 28 01:46:39 GMT 2025","","test_brands","",""
"","17385","Удаление всего товара (Корзина)","tests","Tue Jan 28 01:50:52 GMT 2025","passed","Tue Jan 28 01:51:09 GMT 2025","","test_cart","",""
"","21332","Добавление ПВЗ","tests","Tue Jan 28 02:02:27 GMT 2025","passed","Tue Jan 28 02:02:48 GMT 2025","","test_checkout","",""
"","15063","Активация окна Изменить получателя","tests","Tue Jan 28 01:58:12 GMT 2025","passed","Tue Jan 28 01:58:27 GMT 2025","","test_checkout","",""
"","19895","Создание нового получателя со всеми валидными символами в ФИО","tests","Tue Jan 28 01:57:05 GMT 2025","passed","Tue Jan 28 01:57:25 GMT 2025","","test_checkout","",""
"","9154","Изменение цены в блоке калькуляции по части позиций (Счетчик)","tests","Tue Jan 28 01:50:43 GMT 2025","passed","Tue Jan 28 01:50:52 GMT 2025","","test_cart","",""
"","19500","Добавление нового получателя со всеми полями","tests","Tue Jan 28 01:56:26 GMT 2025","passed","Tue Jan 28 01:56:45 GMT 2025","","test_checkout","",""
"","0","Удаление товара нажатием на крестик (Блок 'Недоступно для заказа')","tests","Tue Jan 28 01:54:30 GMT 2025","skipped","Tue Jan 28 01:54:30 GMT 2025","","test_cart","",""
"","5766","test_header_link[chromium]","tests.Heder_links","Tue Jan 28 01:46:29 GMT 2025","passed","Tue Jan 28 01:46:35 GMT 2025","","test_blogs","",""
"","16026","Применение невалидного промокода","tests","Tue Jan 28 01:54:52 GMT 2025","passed","Tue Jan 28 01:55:08 GMT 2025","","test_checkout","",""
"","18176","Отмена промокода","tests","Tue Jan 28 01:55:38 GMT 2025","passed","Tue Jan 28 01:55:56 GMT 2025","","test_checkout","",""
"","15516","Активация окно подтверждения удаления","tests","Tue Jan 28 01:58:27 GMT 2025","passed","Tue Jan 28 01:58:42 GMT 2025","","test_checkout","",""
"","6282","Добавление товара из поиска","tests","Tue Jan 28 01:47:34 GMT 2025","passed","Tue Jan 28 01:47:40 GMT 2025","","test_add_to_cart","",""
