"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21863","Закрытие окна Изменить получателя через крестик","tests","Thu May 01 14:36:04 GMT 2025","passed","Thu May 01 14:36:26 GMT 2025","","test_checkout","",""
"","21580","Добавление нового получателя только с обязательными полями","tests","Thu May 01 14:26:19 GMT 2025","broken","Thu May 01 14:26:41 GMT 2025","","test_checkout","",""
"","15322","Переход в листинг адресов через кнопку Пункт выдачи","tests","Thu May 01 14:42:39 GMT 2025","passed","Thu May 01 14:42:54 GMT 2025","","test_checkout","",""
"","87953","Применение валидного промокода к неподходящему товару","tests","Thu May 01 14:16:51 GMT 2025","passed","Thu May 01 14:18:19 GMT 2025","","test_checkout","",""
"","16137","Переход в листинг адресов через кнопку Курьер","tests","Thu May 01 14:42:54 GMT 2025","passed","Thu May 01 14:43:11 GMT 2025","","test_checkout","",""
"","24363","Изменение получателя со всеми валидными символами в ФИО","tests","Thu May 01 14:35:39 GMT 2025","broken","Thu May 01 14:36:04 GMT 2025","","test_checkout","",""
"","15178","Открытие листинга получателей (через кнопку Изменить)","tests","Thu May 01 14:28:46 GMT 2025","passed","Thu May 01 14:29:01 GMT 2025","","test_checkout","",""
"","24638","Итоговая стоимость заказа со скидкой по акции","tests","Thu May 01 14:19:53 GMT 2025","passed","Thu May 01 14:20:17 GMT 2025","","test_checkout","",""
"","38751","Стоимость доставки не определена","tests","Thu May 01 14:23:10 GMT 2025","passed","Thu May 01 14:23:49 GMT 2025","","test_checkout","",""
"","36694","Способы оплаты Онлайн-оплата и Оплата по счету не доступны","tests","Thu May 01 14:46:37 GMT 2025","passed","Thu May 01 14:47:14 GMT 2025","","test_checkout","",""
"","16978","Переход в карты через листинг адресов курьера","tests","Thu May 01 14:43:11 GMT 2025","passed","Thu May 01 14:43:28 GMT 2025","","test_checkout","",""
"","30097","Редактирование ПВЗ","tests","Thu May 01 14:37:45 GMT 2025","passed","Thu May 01 14:38:16 GMT 2025","","test_checkout","",""
"","46074","Переход на страницы Политика конфиденциальности и Договор-оферта","tests","Thu May 01 14:20:36 GMT 2025","passed","Thu May 01 14:21:22 GMT 2025","","test_checkout","",""
"","51721","Удаление адреса","tests","Thu May 01 14:41:13 GMT 2025","passed","Thu May 01 14:42:05 GMT 2025","","test_checkout","",""
"","0","Кнопка Оформить заказ не активна если у пользователя не выбран получатель и адрес","tests","Thu May 01 14:20:36 GMT 2025","broken","Thu May 01 14:20:36 GMT 2025","","test_checkout","",""
"","36344","Способ 'Оплата при получении' доступен","tests","Thu May 01 14:44:34 GMT 2025","passed","Thu May 01 14:45:10 GMT 2025","","test_checkout","",""
"","36371","Способ 'Оплата при получении' не доступен","tests","Thu May 01 14:45:36 GMT 2025","passed","Thu May 01 14:46:12 GMT 2025","","test_checkout","",""
"","15378","Удаление получателя","tests","Thu May 01 14:30:06 GMT 2025","passed","Thu May 01 14:30:21 GMT 2025","","test_checkout","",""
"","56649","При достижении определенной суммы стоимость доставки равна 0","tests","Thu May 01 14:21:48 GMT 2025","passed","Thu May 01 14:22:45 GMT 2025","","test_checkout","",""
"","22764","Применение валидного промокода","tests","Thu May 01 14:15:51 GMT 2025","passed","Thu May 01 14:16:14 GMT 2025","","test_checkout","",""
"","21367","Выбор нового адреса","tests","Thu May 01 14:42:18 GMT 2025","passed","Thu May 01 14:42:39 GMT 2025","","test_checkout","",""
"","24828","Изменение всех полей получателя","tests","Thu May 01 14:33:08 GMT 2025","broken","Thu May 01 14:33:33 GMT 2025","","test_checkout","",""
"","20364","Отмена промокода","tests","Thu May 01 14:18:19 GMT 2025","passed","Thu May 01 14:18:39 GMT 2025","","test_checkout","",""
"","20851","Активация окно подтверждения удаления","tests","Thu May 01 14:29:45 GMT 2025","passed","Thu May 01 14:30:06 GMT 2025","","test_checkout","",""
"","27652","Отработка кнопки Назад","tests","Thu May 01 14:43:28 GMT 2025","passed","Thu May 01 14:43:55 GMT 2025","","test_checkout","",""
"","21231","Закрытие окна Новый получатель через крестик","tests","Thu May 01 14:27:57 GMT 2025","passed","Thu May 01 14:28:19 GMT 2025","","test_checkout","",""
"","0","Открытие модального окна Карты через кнопку Пункт выдачи","tests","Thu May 01 14:44:27 GMT 2025","broken","Thu May 01 14:44:27 GMT 2025","","test_checkout","",""
"","25552","Отмена удаления получателя","tests","Thu May 01 14:30:34 GMT 2025","passed","Thu May 01 14:30:59 GMT 2025","","test_checkout","",""
"","22275","Создание нового получателя со всеми валидными символами в ФИО","tests","Thu May 01 14:27:34 GMT 2025","broken","Thu May 01 14:27:57 GMT 2025","","test_checkout","",""
"","0","Открытие карты через кнопку Выберите способ и адрес получения","tests","Thu May 01 14:44:21 GMT 2025","broken","Thu May 01 14:44:21 GMT 2025","","test_checkout","",""
"","0","Открытие модального окна Карты через кнопку Курьером","tests","Thu May 01 14:44:34 GMT 2025","broken","Thu May 01 14:44:34 GMT 2025","","test_checkout","",""
"","20324","Активация окна Удалить адрес","tests","Thu May 01 14:40:52 GMT 2025","passed","Thu May 01 14:41:13 GMT 2025","","test_checkout","",""
"","0","Открытие модального окна Новый получатель через блок Покупатель и получатель","tests","Thu May 01 14:28:46 GMT 2025","broken","Thu May 01 14:28:46 GMT 2025","","test_checkout","",""
"","16834","Активация подсказки","tests","Thu May 01 14:18:57 GMT 2025","passed","Thu May 01 14:19:14 GMT 2025","","test_checkout","",""
"","22094","Закрытие окна Изменить получателя через нажатие на пространство вне окна","tests","Thu May 01 14:36:26 GMT 2025","passed","Thu May 01 14:36:48 GMT 2025","","test_checkout","",""
"","19723","Открытие карт","tests","Thu May 01 14:36:49 GMT 2025","passed","Thu May 01 14:37:08 GMT 2025","","test_checkout","",""
"","39546","Закрытие окна удаления получателя","tests","Thu May 01 14:30:59 GMT 2025","passed","Thu May 01 14:31:39 GMT 2025","","test_checkout","",""
"","36081","Способы оплаты Онлайн-оплата и Оплата по счету доступны","tests","Thu May 01 14:47:40 GMT 2025","passed","Thu May 01 14:48:16 GMT 2025","","test_checkout","",""
"","21222","Выбор нового получателя","tests","Thu May 01 14:29:01 GMT 2025","passed","Thu May 01 14:29:23 GMT 2025","","test_checkout","",""
"","19220","Применение невалидного промокода","tests","Thu May 01 14:16:14 GMT 2025","passed","Thu May 01 14:16:33 GMT 2025","","test_checkout","",""
"","22891","Добавление нового получателя со всеми полями","tests","Thu May 01 14:25:08 GMT 2025","broken","Thu May 01 14:25:31 GMT 2025","","test_checkout","",""
"","19104","Открытие листинга адресов пользователем с адресами (через кнопку Изменить)","tests","Thu May 01 14:43:56 GMT 2025","passed","Thu May 01 14:44:15 GMT 2025","","test_checkout","",""
"","25578","Итоговая стоимость заказа с промокодом и доставкой","tests","Thu May 01 14:19:14 GMT 2025","passed","Thu May 01 14:19:40 GMT 2025","","test_checkout","",""
"","44776","Редактирование адреса курьера с дополнительной информацией","tests","Thu May 01 14:39:55 GMT 2025","passed","Thu May 01 14:40:40 GMT 2025","","test_checkout","",""
"","21980","Открытие окна Изменить получателя","tests","Thu May 01 14:31:52 GMT 2025","passed","Thu May 01 14:32:14 GMT 2025","","test_checkout","",""
"","24151","Добавление ПВЗ","tests","Thu May 01 14:37:08 GMT 2025","passed","Thu May 01 14:37:33 GMT 2025","","test_checkout","",""
"","34369","Редактирование адреса курьера","tests","Thu May 01 14:39:08 GMT 2025","passed","Thu May 01 14:39:43 GMT 2025","","test_checkout","",""
"","21722","Изменение только обязательных полей получателя","tests","Thu May 01 14:34:23 GMT 2025","broken","Thu May 01 14:34:44 GMT 2025","","test_checkout","",""
"","20895","Закрытие окна Новый получатель через нажатие на пространство вне окна","tests","Thu May 01 14:28:19 GMT 2025","passed","Thu May 01 14:28:40 GMT 2025","","test_checkout","",""
"","27403","Добавление адреса курьера","tests","Thu May 01 14:38:28 GMT 2025","passed","Thu May 01 14:38:55 GMT 2025","","test_checkout","",""
"","22041","Активация окна Изменить получателя","tests","Thu May 01 14:29:23 GMT 2025","passed","Thu May 01 14:29:45 GMT 2025","","test_checkout","",""
"","17743","Очистка поля 'Промокод'","tests","Thu May 01 14:18:40 GMT 2025","passed","Thu May 01 14:18:57 GMT 2025","","test_checkout","",""
"","17435","Раскрытие блока 'Промокод'","tests","Thu May 01 14:16:33 GMT 2025","passed","Thu May 01 14:16:51 GMT 2025","","test_checkout","",""
