"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6431","Переход на страницу 'Новости'","tests","Wed Aug 20 14:54:44 UTC 2025","passed","Wed Aug 20 14:54:50 UTC 2025","","test_header_links","",""
"","18324","Активация окна Удалить адрес","tests","Wed Aug 20 14:41:05 UTC 2025","passed","Wed Aug 20 14:41:24 UTC 2025","","test_checkout","",""
"","15049","Активация подсказки","tests","Wed Aug 20 14:24:47 UTC 2025","passed","Wed Aug 20 14:25:02 UTC 2025","","test_checkout","",""
"","16490","Применение невалидного промокода","tests","Wed Aug 20 14:23:17 UTC 2025","passed","Wed Aug 20 14:23:33 UTC 2025","","test_checkout","",""
"","29955","Вернутся в корзину через кнопку 'Вернутся в корзину'","tests","Wed Aug 20 14:22:04 UTC 2025","passed","Wed Aug 20 14:22:34 UTC 2025","","test_cart","",""
"","23388","Создание нового получателя со всеми валидными символами в ФИО","tests","Wed Aug 20 14:30:52 UTC 2025","passed","Wed Aug 20 14:31:15 UTC 2025","","test_checkout","",""
"","22259","Удаление товара нажатием на кнопку 'Удалить'","tests","Wed Aug 20 14:17:05 UTC 2025","passed","Wed Aug 20 14:17:27 UTC 2025","","test_cart","",""
"","17720","Если товар не выбран кнопка 'Оформить заказ' не активна","tests","Wed Aug 20 14:20:10 UTC 2025","passed","Wed Aug 20 14:20:28 UTC 2025","","test_cart","",""
"","33733","Стоимость доставки не определена","tests","Wed Aug 20 14:28:47 UTC 2025","passed","Wed Aug 20 14:29:20 UTC 2025","","test_checkout","",""
"","41634","Переход в чек-аут","tests","Wed Aug 20 14:14:44 UTC 2025","passed","Wed Aug 20 14:15:25 UTC 2025","","test_cart","",""
"","16976","Переход в карты через листинг адресов курьера","tests","Wed Aug 20 14:42:42 UTC 2025","passed","Wed Aug 20 14:42:59 UTC 2025","","test_checkout","",""
"","32748","Способ 'Оплата при получении' не доступен","tests","Wed Aug 20 14:45:18 UTC 2025","passed","Wed Aug 20 14:45:51 UTC 2025","","test_checkout","",""
"","20180","Закрытие окна Изменить получателя через нажатие на пространство вне окна","tests","Wed Aug 20 14:37:07 UTC 2025","passed","Wed Aug 20 14:37:27 UTC 2025","","test_checkout","",""
"","14172","Удаление получателя","tests","Wed Aug 20 14:33:23 UTC 2025","passed","Wed Aug 20 14:33:38 UTC 2025","","test_checkout","",""
"","21993","Итоговая стоимость заказа со скидкой по акции","tests","Wed Aug 20 14:25:39 UTC 2025","passed","Wed Aug 20 14:26:01 UTC 2025","","test_checkout","",""
"","15600","Открытие листинга адресов пользователем с адресами (через кнопку Изменить)","tests","Wed Aug 20 14:43:26 UTC 2025","passed","Wed Aug 20 14:43:41 UTC 2025","","test_checkout","",""
"","20209","Удаление товара нажатием на крестик (Корзина)","tests","Wed Aug 20 14:17:27 UTC 2025","passed","Wed Aug 20 14:17:48 UTC 2025","","test_cart","",""
"","17614","Закрытие окна Новый получатель через нажатие на пространство вне окна","tests","Wed Aug 20 14:31:45 UTC 2025","passed","Wed Aug 20 14:32:03 UTC 2025","","test_checkout","",""
"","38174","Активация окна изменения цены","tests","Wed Aug 20 14:20:28 UTC 2025","passed","Wed Aug 20 14:21:06 UTC 2025","","test_cart","",""
"","26380","Отработка кнопки Назад и Домой","tests","Wed Aug 20 14:42:59 UTC 2025","passed","Wed Aug 20 14:43:25 UTC 2025","","test_checkout","",""
"","19651","Удаление адреса","tests","Wed Aug 20 14:41:24 UTC 2025","passed","Wed Aug 20 14:41:43 UTC 2025","","test_checkout","",""
"","15834","Открытие карт","tests","Wed Aug 20 14:37:27 UTC 2025","passed","Wed Aug 20 14:37:43 UTC 2025","","test_checkout","",""
"","21594","Ввод валидного адреса курьера","tests","Wed Aug 20 14:52:18 UTC 2025","passed","Wed Aug 20 14:52:40 UTC 2025","","test_checkout","",""
"","39502","Изменение только обязательных полей получателя","tests","Wed Aug 20 14:35:42 UTC 2025","passed","Wed Aug 20 14:36:21 UTC 2025","","test_checkout","",""
"","28675","Удаление товара нажатием на крестик (Окно изменения цены)","tests","Wed Aug 20 14:21:35 UTC 2025","passed","Wed Aug 20 14:22:04 UTC 2025","","test_cart","",""
"","7461","Переход на страницу 'Статьи'","tests","Wed Aug 20 14:54:02 UTC 2025","passed","Wed Aug 20 14:54:09 UTC 2025","","test_header_links","",""
"","19418","Число рядом с кнопкой удалить","tests","Wed Aug 20 14:16:46 UTC 2025","passed","Wed Aug 20 14:17:05 UTC 2025","","test_cart","",""
"","15285","Раскрытие блока 'Промокод'","tests","Wed Aug 20 14:23:33 UTC 2025","passed","Wed Aug 20 14:23:48 UTC 2025","","test_checkout","",""
"","9728","Изменение цены в блоке калькуляции по части позиций (Счетчик)","tests","Wed Aug 20 14:18:45 UTC 2025","passed","Wed Aug 20 14:18:55 UTC 2025","","test_cart","",""
"","31943","Способы оплаты Онлайн-оплата и Оплата по счету не доступны","tests","Wed Aug 20 14:46:14 UTC 2025","passed","Wed Aug 20 14:46:45 UTC 2025","","test_checkout","",""
"","8653","Отправка на печать","tests","Wed Aug 20 14:18:26 UTC 2025","passed","Wed Aug 20 14:18:35 UTC 2025","","test_cart","",""
"","12976","Открытие модального окна Новый получатель через блок Покупатель и получатель","tests","Wed Aug 20 14:32:03 UTC 2025","passed","Wed Aug 20 14:32:16 UTC 2025","","test_checkout","",""
"","23259","Добавление нового получателя со всеми полями","tests","Wed Aug 20 14:29:43 UTC 2025","passed","Wed Aug 20 14:30:06 UTC 2025","","test_checkout","",""
"","18585","Открытие окна Изменить получателя","tests","Wed Aug 20 14:34:59 UTC 2025","passed","Wed Aug 20 14:35:17 UTC 2025","","test_checkout","",""
"","18405","Закрытие окна Новый получатель через крестик","tests","Wed Aug 20 14:31:27 UTC 2025","passed","Wed Aug 20 14:31:45 UTC 2025","","test_checkout","",""
"","4804","Переход на домашнюю страницу","tests","Wed Aug 20 14:54:27 UTC 2025","passed","Wed Aug 20 14:54:32 UTC 2025","","test_header_links","",""
"","13888","Переход в листинг адресов через кнопку Курьер","tests","Wed Aug 20 14:42:28 UTC 2025","passed","Wed Aug 20 14:42:42 UTC 2025","","test_checkout","",""
"","81156","Сохраниение нового получателя с некоретными данными","tests","Wed Aug 20 14:48:55 UTC 2025","passed","Wed Aug 20 14:50:17 UTC 2025","","test_checkout","",""
"","5848","Переход на страницу 'Как сделать заказ'","tests","Wed Aug 20 14:54:32 UTC 2025","passed","Wed Aug 20 14:54:38 UTC 2025","","test_header_links","",""
"","13967","Применение валидного промокода","tests","Wed Aug 20 14:23:03 UTC 2025","passed","Wed Aug 20 14:23:16 UTC 2025","","test_checkout","",""
"","5881","Переход на страницу 'Круг друзей'","tests","Wed Aug 20 14:54:38 UTC 2025","passed","Wed Aug 20 14:54:44 UTC 2025","","test_header_links","",""
"","9810","Изменение количества товара через счетчик","tests","Wed Aug 20 14:18:35 UTC 2025","passed","Wed Aug 20 14:18:45 UTC 2025","","test_cart","",""
"","18287","Активация окна авторизации в пустой корзине","tests","Wed Aug 20 14:19:52 UTC 2025","passed","Wed Aug 20 14:20:10 UTC 2025","","test_cart","",""
"","17525","Удаление всего товара (Корзина)","tests","Wed Aug 20 14:18:55 UTC 2025","passed","Wed Aug 20 14:19:12 UTC 2025","","test_cart","",""
