"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","71359","Переход в чек-аут с пустым аккаунтом","tests","Fri Mar 07 14:17:54 GMT 2025","passed","Fri Mar 07 14:19:06 GMT 2025","","test_cart","",""
"","20687","Добавление ПВЗ","tests","Fri Mar 07 14:39:53 GMT 2025","passed","Fri Mar 07 14:40:14 GMT 2025","","test_checkout","",""
"","14120","Открытие модального окна Карты через кнопку Пункт выдачи","tests","Fri Mar 07 14:46:41 GMT 2025","passed","Fri Mar 07 14:46:55 GMT 2025","","test_checkout","",""
"","31535","Способы оплаты Онлайн-оплата и Оплата по счету доступны","tests","Fri Mar 07 14:50:13 GMT 2025","passed","Fri Mar 07 14:50:44 GMT 2025","","test_checkout","",""
"","18456","Активация окно подтверждения удаления","tests","Fri Mar 07 14:35:28 GMT 2025","passed","Fri Mar 07 14:35:46 GMT 2025","","test_checkout","",""
"","17163","Удаление всего товара (Корзина)","tests","Fri Mar 07 14:21:47 GMT 2025","passed","Fri Mar 07 14:22:04 GMT 2025","","test_cart","",""
"","6410","Добавление товара из поиска","tests","Fri Mar 07 14:16:27 GMT 2025","passed","Fri Mar 07 14:16:33 GMT 2025","","test_add_to_cart","",""
"","14265","Переход в карты через листинг адресов курьера","tests","Fri Mar 07 14:45:33 GMT 2025","passed","Fri Mar 07 14:45:47 GMT 2025","","test_checkout","",""
"","9571","Отправка на печать","tests","Fri Mar 07 14:21:17 GMT 2025","passed","Fri Mar 07 14:21:27 GMT 2025","","test_cart","",""
"","24247","Добавление адреса курьера","tests","Fri Mar 07 14:41:06 GMT 2025","passed","Fri Mar 07 14:41:30 GMT 2025","","test_checkout","",""
"","16403","Применение невалидного промокода","tests","Fri Mar 07 14:26:05 GMT 2025","passed","Fri Mar 07 14:26:22 GMT 2025","","test_checkout","",""
"","10494","Изменение количества товара через счетчик","tests","Fri Mar 07 14:21:27 GMT 2025","passed","Fri Mar 07 14:21:38 GMT 2025","","test_cart","",""
"","18933","Активация окна авторизации в пустой корзине","tests","Fri Mar 07 14:22:43 GMT 2025","passed","Fri Mar 07 14:23:02 GMT 2025","","test_cart","",""
"","15346","Открытие модального окна Карты через кнопку Курьером","tests","Fri Mar 07 14:46:55 GMT 2025","passed","Fri Mar 07 14:47:10 GMT 2025","","test_checkout","",""
"","19248","Изменение цены в блоке калькуляции по части позиций (Чек-бокс)","tests","Fri Mar 07 14:20:58 GMT 2025","passed","Fri Mar 07 14:21:17 GMT 2025","","test_cart","",""
"","18758","Закрытие окна Изменить получателя через крестик","tests","Fri Mar 07 14:38:58 GMT 2025","passed","Fri Mar 07 14:39:17 GMT 2025","","test_checkout","",""
"","37453","Переход на страницы Политика конфиденциальности и Договор-оферта","tests","Fri Mar 07 14:29:02 GMT 2025","passed","Fri Mar 07 14:29:40 GMT 2025","","test_checkout","",""
"","33299","Способы оплаты Онлайн-оплата и Оплата по счету не доступны","tests","Fri Mar 07 14:49:15 GMT 2025","passed","Fri Mar 07 14:49:48 GMT 2025","","test_checkout","",""
"","8346","Добавление товара из карточки товара","tests","Fri Mar 07 14:16:18 GMT 2025","passed","Fri Mar 07 14:16:27 GMT 2025","","test_add_to_cart","",""
"","4569","test_header_link[chromium]","tests.Heder_links","Fri Mar 07 14:15:58 GMT 2025","passed","Fri Mar 07 14:16:03 GMT 2025","","test_video","",""
"","19603","Выделение части товара","tests","Fri Mar 07 14:19:23 GMT 2025","passed","Fri Mar 07 14:19:43 GMT 2025","","test_cart","",""
"","3971","test_header_link2[chromium]","tests.Heder_links","Fri Mar 07 14:15:29 GMT 2025","passed","Fri Mar 07 14:15:33 GMT 2025","","test_dostavka-oplata","",""
"","8365","Открытие модального окна авторизации","tests","Fri Mar 07 14:16:33 GMT 2025","passed","Fri Mar 07 14:16:42 GMT 2025","","test_cart","",""
"","19514","Число рядом с кнопкой удалить","tests","Fri Mar 07 14:19:43 GMT 2025","passed","Fri Mar 07 14:20:02 GMT 2025","","test_cart","",""
"","22672","Итоговая стоимость заказа с промокодом и доставкой","tests","Fri Mar 07 14:27:41 GMT 2025","passed","Fri Mar 07 14:28:04 GMT 2025","","test_checkout","",""
"","6863","test_header_link[chromium]","tests.Heder_links","Fri Mar 07 14:15:44 GMT 2025","passed","Fri Mar 07 14:15:51 GMT 2025","","test_news","",""
"","12453","Кнопка Оформить заказ не активна если у пользователя не выбран получатель и адрес","tests","Fri Mar 07 14:28:50 GMT 2025","passed","Fri Mar 07 14:29:02 GMT 2025","","test_checkout","",""
"","25108","Изменение всех полей получателя","tests","Fri Mar 07 14:37:42 GMT 2025","passed","Fri Mar 07 14:38:07 GMT 2025","","test_checkout","",""
"","13577","Удаление получателя","tests","Fri Mar 07 14:35:46 GMT 2025","passed","Fri Mar 07 14:36:00 GMT 2025","","test_checkout","",""
"","3067","Переход на домашнюю страницу","tests.Heder_links","Fri Mar 07 14:15:33 GMT 2025","passed","Fri Mar 07 14:15:36 GMT 2025","","test_home","",""
"","33593","Стоимость доставки не определена","tests","Fri Mar 07 14:31:16 GMT 2025","passed","Fri Mar 07 14:31:50 GMT 2025","","test_checkout","",""
"","13182","Переход в листинг адресов через кнопку Пункт выдачи","tests","Fri Mar 07 14:45:06 GMT 2025","passed","Fri Mar 07 14:45:19 GMT 2025","","test_checkout","",""
"","26155","Отработка кнопки Назад","tests","Fri Mar 07 14:45:47 GMT 2025","passed","Fri Mar 07 14:46:13 GMT 2025","","test_checkout","",""
"","3806","test_header_link[chromium]","tests.Heder_links","Fri Mar 07 14:16:03 GMT 2025","passed","Fri Mar 07 14:16:07 GMT 2025","","test_warranty","",""
